0, Current Cost:247.60378451014972, Best Cost:247.60378451014972
1, Current Cost:240.27532738320872, Best Cost:240.27532738320872
2, Current Cost:247.60378451014972, Best Cost:240.27532738320872
3, Current Cost:247.60378451014972, Best Cost:240.27532738320872
4, Current Cost:240.27532738320872, Best Cost:240.27532738320872
5, Current Cost:247.60378451014972, Best Cost:240.27532738320872
6, Current Cost:247.60378451014972, Best Cost:240.27532738320872
7, Current Cost:247.60378451014972, Best Cost:240.27532738320872
8, Current Cost:270.16560227349623, Best Cost:240.27532738320872
9, Current Cost:247.60378451014972, Best Cost:240.27532738320872
10, Current Cost:270.16560227349623, Best Cost:240.27532738320872
11, Current Cost:270.16560227349623, Best Cost:240.27532738320872
12, Current Cost:240.27532738320872, Best Cost:240.27532738320872
13, Current Cost:240.27532738320872, Best Cost:240.27532738320872
14, Current Cost:270.16560227349623, Best Cost:240.27532738320872
15, Current Cost:270.16560227349623, Best Cost:240.27532738320872
16, Current Cost:270.1656022734962, Best Cost:240.27532738320872
17, Current Cost:240.27532738320872, Best Cost:240.27532738320872
18, Current Cost:247.60378451014972, Best Cost:240.27532738320872
19, Current Cost:247.60378451014972, Best Cost:240.27532738320872
20, Current Cost:247.60378451014972, Best Cost:240.27532738320872
21, Current Cost:240.27532738320872, Best Cost:240.27532738320872
22, Current Cost:240.27532738320872, Best Cost:240.27532738320872
23, Current Cost:240.27532738320872, Best Cost:240.27532738320872
24, Current Cost:240.27532738320872, Best Cost:240.27532738320872
25, Current Cost:270.16560227349623, Best Cost:240.27532738320872
26, Current Cost:270.1656022734962, Best Cost:240.27532738320872
27, Current Cost:270.1656022734962, Best Cost:240.27532738320872
28, Current Cost:247.60378451014972, Best Cost:240.27532738320872
29, Current Cost:247.60378451014972, Best Cost:240.27532738320872
30, Current Cost:240.27532738320872, Best Cost:240.27532738320872
31, Current Cost:270.16560227349623, Best Cost:240.27532738320872
32, Current Cost:270.16560227349623, Best Cost:240.27532738320872
33, Current Cost:240.27532738320872, Best Cost:240.27532738320872
34, Current Cost:240.27532738320872, Best Cost:240.27532738320872
35, Current Cost:240.27532738320872, Best Cost:240.27532738320872
36, Current Cost:240.27532738320872, Best Cost:240.27532738320872
37, Current Cost:240.27532738320872, Best Cost:240.27532738320872
38, Current Cost:240.27532738320872, Best Cost:240.27532738320872
39, Current Cost:247.60378451014972, Best Cost:240.27532738320872
40, Current Cost:247.60378451014972, Best Cost:240.27532738320872
41, Current Cost:247.60378451014972, Best Cost:240.27532738320872
42, Current Cost:240.27532738320872, Best Cost:240.27532738320872
43, Current Cost:240.27532738320872, Best Cost:240.27532738320872
44, Current Cost:247.60378451014972, Best Cost:240.27532738320872
45, Current Cost:247.60378451014972, Best Cost:240.27532738320872
46, Current Cost:270.16560227349623, Best Cost:240.27532738320872
47, Current Cost:240.27532738320872, Best Cost:240.27532738320872
48, Current Cost:240.27532738320872, Best Cost:240.27532738320872
49, Current Cost:240.27532738320872, Best Cost:240.27532738320872
50, Current Cost:240.27532738320872, Best Cost:240.27532738320872
51, Current Cost:247.60378451014972, Best Cost:240.27532738320872
52, Current Cost:270.16560227349623, Best Cost:240.27532738320872
53, Current Cost:247.60378451014972, Best Cost:240.27532738320872
54, Current Cost:270.16560227349623, Best Cost:240.27532738320872
55, Current Cost:270.16560227349623, Best Cost:240.27532738320872
56, Current Cost:240.27532738320872, Best Cost:240.27532738320872
57, Current Cost:270.16560227349623, Best Cost:240.27532738320872
58, Current Cost:247.60378451014972, Best Cost:240.27532738320872
59, Current Cost:247.60378451014972, Best Cost:240.27532738320872
60, Current Cost:247.60378451014972, Best Cost:240.27532738320872
61, Current Cost:247.60378451014972, Best Cost:240.27532738320872
62, Current Cost:247.60378451014972, Best Cost:240.27532738320872
63, Current Cost:240.27532738320872, Best Cost:240.27532738320872
64, Current Cost:270.16560227349623, Best Cost:240.27532738320872
65, Current Cost:270.16560227349623, Best Cost:240.27532738320872
66, Current Cost:240.27532738320872, Best Cost:240.27532738320872
67, Current Cost:270.16560227349623, Best Cost:240.27532738320872
68, Current Cost:247.60378451014972, Best Cost:240.27532738320872
69, Current Cost:247.60378451014972, Best Cost:240.27532738320872
70, Current Cost:270.16560227349623, Best Cost:240.27532738320872
71, Current Cost:247.60378451014972, Best Cost:240.27532738320872
72, Current Cost:247.60378451014972, Best Cost:240.27532738320872
73, Current Cost:270.1656022734962, Best Cost:240.27532738320872
74, Current Cost:270.1656022734962, Best Cost:240.27532738320872
75, Current Cost:270.16560227349623, Best Cost:240.27532738320872
76, Current Cost:270.1656022734962, Best Cost:240.27532738320872
77, Current Cost:240.27532738320872, Best Cost:240.27532738320872
78, Current Cost:247.60378451014972, Best Cost:240.27532738320872
79, Current Cost:270.16560227349623, Best Cost:240.27532738320872
80, Current Cost:270.16560227349623, Best Cost:240.27532738320872
81, Current Cost:270.16560227349623, Best Cost:240.27532738320872
82, Current Cost:247.60378451014972, Best Cost:240.27532738320872
83, Current Cost:247.60378451014972, Best Cost:240.27532738320872
84, Current Cost:270.16560227349623, Best Cost:240.27532738320872
85, Current Cost:247.60378451014972, Best Cost:240.27532738320872
86, Current Cost:247.60378451014972, Best Cost:240.27532738320872
87, Current Cost:247.60378451014972, Best Cost:240.27532738320872
88, Current Cost:247.60378451014972, Best Cost:240.27532738320872
89, Current Cost:247.60378451014972, Best Cost:240.27532738320872
90, Current Cost:240.27532738320872, Best Cost:240.27532738320872
91, Current Cost:247.60378451014972, Best Cost:240.27532738320872
92, Current Cost:270.16560227349623, Best Cost:240.27532738320872
93, Current Cost:247.60378451014972, Best Cost:240.27532738320872
94, Current Cost:270.16560227349623, Best Cost:240.27532738320872
95, Current Cost:240.27532738320872, Best Cost:240.27532738320872
